交易 #,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累積損益 TWD,累積損益 %
5052,空頭出場,2025-03-13 11:05,S_Exit_Add,22179,1,1112900,3910,0.35,3980,0.36,-270,-0.02,1902680,475.67
5052,空頭進場,2025-03-13 10:50,S_Add,22258,1,1112900,3910,0.35,3980,0.36,-270,-0.02,1902680,475.67
5053,空頭出場,2025-03-13 11:15,S_Exit_Add,22152,1,1111850,4210,0.38,4280,0.38,-120,-0.01,1906890,476.72
5053,空頭進場,2025-03-13 10:55,S_G_進,22237,1,1111850,4210,0.38,4280,0.38,-120,-0.01,1906890,476.72
5054,空頭出場,2025-03-13 11:35,S_Exit_Add,22058,1,1110150,7210,0.65,7280,0.66,-1320,-0.12,1914080,478.52
5054,空頭進場,2025-03-13 11:00,S_Add,22203,1,1110150,7210,0.65,7280,0.66,-1320,-0.12,1914080,478.52
5055,空頭出場,2025-03-13 11:35,S_Exit_Add,22058,1,1109150,6210,0.56,6280,0.57,-1320,-0.12,1920310,480.08
5055,空頭進場,2025-03-13 11:10,S_Add,22183,1,1109150,6210,0.56,6280,0.57,-1320,-0.12,1920310,480.08
5056,空頭出場,2025-03-13 11:35,S_Exit_G,22058,1,1107600,4660,0.42,4730,0.43,-270,-0.02,1924990,481.25
5056,空頭進場,2025-03-13 11:25,S_Add,22152,1,1107600,4660,0.42,4730,0.43,-270,-0.02,1924990,481.25
5057,空頭出場,2025-03-13 12:30,S_Exit_Add,22038,1,1107100,5160,0.47,5230,0.47,-270,-0.02,1930110,482.53
5057,空頭進場,2025-03-13 11:30,S_G_進,22142,1,1107100,5160,0.47,5230,0.47,-270,-0.02,1930110,482.53
5058,空頭出場,2025-03-13 12:30,S_Exit_G,22038,1,1105100,3160,0.29,3230,0.29,-2070,-0.19,1933290,483.32
5058,空頭進場,2025-03-13 11:40,S_Add,22102,1,1105100,3160,0.29,3230,0.29,-2070,-0.19,1933290,483.32
5059,空頭出場,2025-03-13 12:35,S_Exit_Add,21993,1,1104050,4360,0.39,4430,0.40,-3120,-0.28,1937650,484.41
5059,空頭進場,2025-03-13 12:00,S_Add,22081,1,1104050,4360,0.39,4430,0.40,-3120,-0.28,1937650,484.41
5060,空頭出場,2025-03-13 12:40,S_Exit_Add,21975,1,1103250,4460,0.40,4530,0.41,-420,-0.04,1942110,485.53
5060,空頭進場,2025-03-13 12:30,S_G_進,22065,1,1103250,4460,0.40,4530,0.41,-420,-0.04,1942110,485.53
5061,空頭出場,2025-03-13 13:30,S_Exit_Add,21918,1,1101900,5960,0.54,6030,0.55,-220,-0.02,1948050,487.01
5061,空頭進場,2025-03-13 12:35,S_Add,22038,1,1101900,5960,0.54,6030,0.55,-220,-0.02,1948050,487.01
5062,空頭出場,2025-03-13 13:30,S_Exit_G,21918,1,1099950,4010,0.36,4080,0.37,-1720,-0.16,1952080,488.02
5062,空頭進場,2025-03-13 12:40,S_Add,21999,1,1099950,4010,0.36,4080,0.37,-1720,-0.16,1952080,488.02
5063,空頭出場,2025-03-13 16:15,S_Exit_Add,21874,1,1098600,4860,0.44,4930,0.45,-1820,-0.17,1956940,489.24
