交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
48,空頭進場,2022-02-22 00:30,S_Cmd,18101,1,905050,2310,0.26,2380,0.26,-870,-0.10,-5270,-1.32
49,空頭出場,2022-02-22 04:00,S_Exit,18022,1,899600,-1540,-0.17,80,0.01,-1520,-0.17,-6810,-1.70
49,空頭進場,2022-02-22 03:35,S_Cmd,17992,1,899600,-1540,-0.17,80,0.01,-1520,-0.17,-6810,-1.70
50,空頭出場,2022-02-22 10:30,S_Exit,17846,1,896300,3960,0.44,4030,0.45,-2520,-0.28,-2890,-0.72
50,空頭進場,2022-02-22 09:15,S_Cmd,17926,1,896300,3960,0.44,4030,0.45,-2520,-0.28,-2890,-0.72
51,空頭出場,2022-02-22 11:00,S_Exit_Add,17789,1,894650,5160,0.58,5230,0.58,-2120,-0.24,2250,0.56
51,空頭進場,2022-02-22 09:55,S_Add,17893,1,894650,5160,0.58,5230,0.58,-2120,-0.24,2250,0.56
52,空頭出場,2022-02-22 11:00,S_Exit_G,17789,1,893150,3660,0.41,3730,0.42,-470,-0.05,5930,1.48
52,空頭進場,2022-02-22 10:30,S_Add,17863,1,893150,3660,0.41,3730,0.42,-470,-0.05,5930,1.48
53,空頭出場,2022-02-22 11:05,S_Exit_Add,17774,1,892450,3710,0.42,3780,0.42,-370,-0.04,9640,2.41
53,空頭進場,2022-02-22 10:45,S_Add,17849,1,892450,3710,0.42,3780,0.42,-370,-0.04,9640,2.41
54,空頭出場,2022-02-22 13:20,S_Exit_Add,17908,1,891350,-4090,-0.46,2680,0.30,-4070,-0.46,5550,1.39
54,空頭進場,2022-02-22 10:55,S_G_進,17827,1,891350,-4090,-0.46,2680,0.30,-4070,-0.46,5550,1.39
55,空頭出場,2022-02-22 13:25,S_Exit_Add,17919,1,889450,-6540,-0.74,780,0.09,-6520,-0.73,-970,-0.24
55,空頭進場,2022-02-22 11:05,S_Add,17789,1,889450,-6540,-0.74,780,0.09,-6520,-0.73,-970,-0.24
56,空頭出場,2022-02-22 18:15,Trend Rev,17932,1,888900,-7740,-0.87,180,0.02,-8720,-0.98,-8690,-2.17
56,空頭進場,2022-02-22 11:10,S_Add,17778,1,888900,-7740,-0.87,180,0.02,-8720,-0.98,-8690,-2.17
57,空頭出場,2022-02-23 03:25,S_Exit,17884,1,891800,-2440,-0.27,1480,0.17,-2420,-0.27,-11150,-2.79
57,空頭進場,2022-02-23 03:05,S_Cmd,17836,1,891800,-2440,-0.27,1480,0.17,-2420,-0.27,-11150,-2.79
58,空頭出場,2022-02-23 03:30,S_Exit_Add,17904,1,890750,-4490,-0.50,430,0.05,-4470,-0.50,-15620,-3.90
58,空頭進場,2022-02-23 03:10,S_Add,17815,1,890750,-4490,-0.50,430,0.05,-4470,-0.50,-15620,-3.90
59,空頭出場,2022-02-24 01:15,S_Exit,18029,1,899500,-1990,-0.22,1230,0.14,-1970,-0.22,-17610,-4.40
59,空頭進場,2022-02-23 23:30,S_Cmd,17990,1,899500,-1990,-0.22,1230,0.14,-1970,-0.22,-17610,-4.40
60,空頭出場,2022-02-24 08:45,S_Exit,17800,1,894800,4760,0.53,4830,0.54,-670,-0.07,-12870,-3.22
60,空頭進場,2022-02-24 03:30,S_Cmd,17896,1,894800,4760,0.53,4830,0.54,-670,-0.07,-12870,-3.22
61,空頭出場,2022-02-24 08:45,S_Exit_Add,17800,1,893650,3610,0.40,3680,0.41,-670,-0.07,-9240,-2.31
61,空頭進場,2022-02-24 04:55,S_Add,17873,1,893650,3610,0.40,3680,0.41,-670,-0.07,-9240,-2.31
62,空頭出場,2022-02-24 09:00,Vol Bot,17807,1,891600,1210,0.14,2730,0.31,-120,-0.01,-8050,-2.01
62,空頭進場,2022-02-24 08:50,S_Cmd,17832,1,891600,1210,0.14,2730,0.31,-120,-0.01,-8050,-2.01
63,空頭出場,2022-02-24 09:00,S_Exit,17757,1,890200,2310,0.26,2380,0.27,-1120,-0.13,-5720,-1.43
63,空頭進場,2022-02-24 08:55,S_Add,17804,1,890200,2310,0.26,2380,0.27,-1120,-0.13,-5720,-1.43
64,空頭出場,2022-02-24 09:35,Vol Bot,17755,1,888350,560,0.06,2580,0.29,-3170,-0.36,-5180,-1.29
64,空頭進場,2022-02-24 09:05,S_Cmd,17767,1,888350,560,0.06,2580,0.29,-3170,-0.36,-5180,-1.29
65,空頭出場,2022-02-24 09:50,S_Exit,17831,1,886250,-5340,-0.60,480,0.05,-5320,-0.60,-10500,-2.62
65,空頭進場,2022-02-24 09:30,S_Add,17725,1,886250,-5340,-0.60,480,0.05,-5320,-0.60,-10500,-2.62
66,空頭出場,2022-02-24 12:15,S_Exit,17605,1,885250,4960,0.56,5030,0.57,-1070,-0.12,-5600,-1.40
66,空頭進場,2022-02-24 11:10,S_Cmd,17705,1,885250,4960,0.56,5030,0.57,-1070,-0.12,-5600,-1.40
67,空頭出場,2022-02-24 12:20,S_Exit_G,17592,1,882800,3160,0.36,3230,0.37,-1370,-0.16,-2420,-0.60
67,空頭進場,2022-02-24 11:30,S_Add,17656,1,882800,3160,0.36,3230,0.37,-1370,-0.16,-2420,-0.60
68,空頭出場,2022-02-24 12:35,S_Exit_Add,17549,1,881850,4360,0.49,4430,0.50,-2320,-0.26,1920,0.48
68,空頭進場,2022-02-24 11:35,S_Add,17637,1,881850,4360,0.49,4430,0.50,-2320,-0.26,1920,0.48
69,空頭出場,2022-02-24 12:35,S_Exit_G,17549,1,880950,3460,0.39,3530,0.40,-3220,-0.37,5400,1.35
69,空頭進場,2022-02-24 11:40,S_G_進,17619,1,880950,3460,0.39,3530,0.40,-3220,-0.37,5400,1.35
70,空頭出場,2022-02-24 13:05,S_Exit_Add,17539,1,879600,2610,0.30,2680,0.30,-3170,-0.36,8010,2.00
70,空頭進場,2022-02-24 12:25,S_Add,17592,1,879600,2610,0.30,2680,0.30,-3170,-0.36,8010,2.00
71,空頭出場,2022-02-24 15:00,S_Exit_Add,17475,1,879100,5310,0.60,5380,0.61,-3670,-0.42,13300,3.33
71,空頭進場,2022-02-24 12:35,S_G_進,17582,1,879100,5310,0.60,5380,0.61,-3670,-0.42,13300,3.33
72,空頭出場,2022-02-24 15:00,S_Exit_G,17475,1,877600,3810,0.43,3880,0.44,-5170,-0.59,17130,4.28
72,空頭進場,2022-02-24 12:40,S_Add,17552,1,877600,3810,0.43,3880,0.44,-5170,-0.59,17130,4.28
