交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,報酬 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %,持續時間（K線）
59,多頭進場,2022-01-13 22:50,L_G_進,18622,1,931100,-1590,-0.17,1380,0.15,-2020,-0.22,7400,1.85,9
60,多頭出場,2022-01-13 23:50,L_Exit_Add,18565,1,932050,-3840,-0.41,430,0.05,-3820,-0.41,3580,0.90,11
60,多頭進場,2022-01-13 22:55,L_Add,18641,1,932050,-3840,-0.41,430,0.05,-3820,-0.41,3580,0.90,11
61,多頭出場,2022-01-13 23:50,L_Exit_Add,18563,1,932100,-3990,-0.43,180,0.02,-3970,-0.43,-390,-0.10,10
61,多頭進場,2022-01-13 23:00,L_G_進,18642,1,932100,-3990,-0.43,180,0.02,-3970,-0.43,-390,-0.10,10
62,多頭出場,2022-01-14 01:05,L_Cmd_Fast,18585,1,930200,-990,-0.11,780,0.08,-1020,-0.11,-1380,-0.34,6
62,多頭進場,2022-01-14 00:35,L_Cmd,18604,1,930200,-990,-0.11,780,0.08,-1020,-0.11,-1380,-0.34,6
63,空頭出場,2022-01-14 12:10,S_Cmd_Fast,18344,1,913400,-3840,-0.42,2430,0.27,-4020,-0.44,-5220,-1.31,29
63,空頭進場,2022-01-14 09:45,S_Cmd,18268,1,913400,-3840,-0.42,2430,0.27,-4020,-0.44,-5220,-1.31,29
64,多頭出場,2022-01-15 01:50,L_Cmd_Fast,18378,1,920800,-1940,-0.21,1280,0.14,-2120,-0.23,-7160,-1.79,34
64,多頭進場,2022-01-14 23:00,L_Cmd,18416,1,920800,-1940,-0.21,1280,0.14,-2120,-0.23,-7160,-1.79,34
65,多頭出場,2022-01-15 03:30,L_Cmd_Fast,18386,1,920200,-940,-0.10,180,0.02,-920,-0.10,-8100,-2.02,4
65,多頭進場,2022-01-15 03:10,L_Cmd,18404,1,920200,-940,-0.10,180,0.02,-920,-0.10,-8100,-2.02,4
66,多頭出場,2022-01-18 11:40,L_Cmd_Fast,18519,1,927050,-1140,-0.12,2080,0.22,-1520,-0.16,-9260,-2.31,24
66,多頭進場,2022-01-18 09:40,L_Cmd,18541,1,927050,-1140,-0.12,2080,0.22,-1520,-0.16,-9260,-2.31,24
67,多頭出場,2022-01-18 12:20,L_Exit_Add,18477,1,928550,-4740,-0.51,580,0.06,-4720,-0.51,-13980,-3.49,31
67,多頭進場,2022-01-18 09:45,L_Add,18571,1,928550,-4740,-0.51,580,0.06,-4720,-0.51,-13980,-3.49,31
68,空頭出場,2022-01-18 17:15,S_Exit,18280,1,917400,3360,0.37,3430,0.37,-20,0.00,-10620,-2.65,28
68,空頭進場,2022-01-18 13:45,S_Cmd,18348,1,917400,3360,0.37,3430,0.37,-20,0.00,-10620,-2.65,28
69,空頭出場,2022-01-18 23:10,S_Cmd_Fast,18300,1,914300,-740,-0.08,1080,0.12,-920,-0.10,-11380,-2.84,7
69,空頭進場,2022-01-18 22:35,S_Cmd,18286,1,914300,-740,-0.08,1080,0.12,-920,-0.10,-11380,-2.84,7
70,空頭出場,2022-01-19 01:45,S_Exit_Add,18239,1,913650,1660,0.18,1730,0.19,-2070,-0.23,-9700,-2.43,35
70,空頭進場,2022-01-18 22:50,S_Add,18273,1,913650,1660,0.18,1730,0.19,-2070,-0.23,-9700,-2.43,35
71,空頭出場,2022-01-19 08:45,S_Exit,18194,1,911700,1960,0.21,2030,0.22,-820,-0.09,-7760,-1.94,8
71,空頭進場,2022-01-19 04:20,S_Cmd,18234,1,911700,1960,0.21,2030,0.22,-820,-0.09,-7760,-1.94,8
72,空頭出場,2022-01-19 09:05,S_Exit_Add,18271,1,910950,-2640,-0.29,1480,0.16,-2620,-0.29,-10380,-2.59,7
72,空頭進場,2022-01-19 04:45,S_Add,18219,1,910950,-2640,-0.29,1480,0.16,-2620,-0.29,-10380,-2.59,7
73,空頭出場,2022-01-19 11:45,S_Exit,18163,1,911150,2960,0.32,3030,0.33,-820,-0.09,-7460,-1.86,7
73,空頭進場,2022-01-19 11:10,S_Cmd,18223,1,911150,2960,0.32,3030,0.33,-820,-0.09,-7460,-1.86,7
74,空頭出場,2022-01-19 15:00,S_Exit_G,18161,1,910250,2160,0.24,3130,0.34,-870,-0.10,-5320,-1.33,27
74,空頭進場,2022-01-19 11:30,S_Add,18205,1,910250,2160,0.24,3130,0.34,-870,-0.10,-5320,-1.33,27
75,空頭出場,2022-01-19 15:00,S_Exit_Add,18137,1,909650,2760,0.30,2830,0.31,-1470,-0.16,-2540,-0.63,24
75,空頭進場,2022-01-19 11:45,S_Add,18193,1,909650,2760,0.30,2830,0.31,-1470,-0.16,-2540,-0.63,24
76,空頭出場,2022-01-19 17:45,Trend Rev,18218,1,908400,-2540,-0.28,1580,0.17,-2720,-0.30,-5060,-1.26,56
76,空頭進場,2022-01-19 11:50,S_Add,18168,1,908400,-2540,-0.28,1580,0.17,-2720,-0.30,-5060,-1.26,56
77,空頭出場,2022-01-19 17:45,Trend Rev,18218,1,908250,-2690,-0.30,1430,0.16,-2720,-0.30,-7730,-1.93,35
77,空頭進場,2022-01-19 13:35,S_G_進,18165,1,908250,-2690,-0.30,1430,0.16,-2720,-0.30,-7730,-1.93,35
78,空頭出場,2022-01-20 00:55,S_G_Cut,18212,1,910600,-40,0.00,1630,0.18,-220,-0.02,-7830,-1.96,17
78,空頭進場,2022-01-19 23:30,S_Cmd,18212,1,910600,-40,0.00,1630,0.18,-220,-0.02,-7830,-1.96,17
79,空頭出場,2022-01-20 00:55,S_Cmd_Fast,18212,1,909800,-840,-0.09,830,0.09,-1020,-0.11,-8650,-2.16,15
79,空頭進場,2022-01-19 23:40,S_Add,18196,1,909800,-840,-0.09,830,0.09,-1020,-0.11,-8650,-2.16,15
80,空頭出場,2022-01-20 01:05,Trend Rev,18217,1,909550,-1340,-0.15,580,0.06,-1620,-0.18,-9970,-2.49,15
80,空頭進場,2022-01-19 23:50,S_Add,18191,1,909550,-1340,-0.15,580,0.06,-1620,-0.18,-9970,-2.49,15
81,空頭出場,2022-01-20 01:05,Trend Rev,18217,1,909350,-1540,-0.17,380,0.04,-1820,-0.20,-11490,-2.87,10
81,空頭進場,2022-01-20 00:15,S_G_進,18187,1,909350,-1540,-0.17,380,0.04,-1820,-0.20,-11490,-2.87,10
82,空頭出場,2022-01-20 04:15,S_Cmd_Fast,18208,1,909500,-940,-0.10,930,0.10,-1020,-0.11,-12450,-3.11,13
82,空頭進場,2022-01-20 03:10,S_Cmd,18190,1,909500,-940,-0.10,930,0.10,-1020,-0.11,-12450,-3.11,13
83,空頭出場,2022-01-20 08:50,S_Exit_Add,18163,1,908950,760,0.08,1230,0.14,-1870,-0.21,-11710,-2.93,20
83,空頭進場,2022-01-20 03:25,S_Add,18179,1,908950,760,0.08,1230,0.14,-1870,-0.21,-11710,-2.93,20
84,空頭出場,2022-01-20 09:05,S_G_Cut,18195,1,908400,-1390,-0.15,680,0.07,-2420,-0.27,-13120,-3.28,5
84,空頭進場,2022-01-20 04:55,S_Add,18168,1,908400,-1390,-0.15,680,0.07,-2420,-0.27,-13120,-3.28,5
85,空頭出場,2022-01-20 09:15,S_Exit_Add,18086,1,910150,5810,0.64,5880,0.65,-670,-0.07,-7290,-1.82,6
85,空頭進場,2022-01-20 08:45,S_Add,18203,1,910150,5810,0.64,5880,0.65,-670,-0.07,-7290,-1.82,6
86,空頭出場,2022-01-20 09:15,S_Exit_Add,18086,1,908200,3860,0.43,3930,0.43,-2370,-0.26,-3410,-0.85,4
86,空頭進場,2022-01-20 08:55,S_Add,18164,1,908200,3860,0.43,3930,0.43,-2370,-0.26,-3410,-0.85,4
87,空頭出場,2022-01-20 09:15,S_Exit_Add,18086,1,908350,4010,0.44,4080,0.45,-2220,-0.24,620,0.16,3
87,空頭進場,2022-01-20 09:00,S_G_進,18167,1,908350,4010,0.44,4080,0.45,-2220,-0.24,620,0.16,3
88,空頭出場,2022-01-20 09:30,S_Exit,18151,1,904400,-3190,-0.35,280,0.03,-3170,-0.35,-2570,-0.64,2
88,空頭進場,2022-01-20 09:20,S_Cmd,18088,1,904400,-3190,-0.35,280,0.03,-3170,-0.35,-2570,-0.64,2
