交易編號,類型,日期和時間,訊號,價格 TWD,大小（數量）,大小（值）,淨損益 TWD,淨損益 %,有利波動 TWD,有利波動 %,不利波動 TWD,不利波動 %,累計損益 TWD,累計損益 %
211,多頭出場,2022-03-29 22:10,L_Exit,17666,1,884650,-1390,-0.16,1030,0.12,-1370,-0.15,38740,9.69
211,多頭進場,2022-03-29 21:15,L_Cmd,17693,1,884650,-1390,-0.16,1030,0.12,-1370,-0.15,38740,9.69
212,多頭出場,2022-03-29 22:10,L_Exit_Add,17664,1,885650,-2490,-0.28,0,0.00,-2470,-0.28,36270,9.07
212,多頭進場,2022-03-29 21:35,L_Add,17713,1,885650,-2490,-0.28,0,0.00,-2470,-0.28,36270,9.07
213,多頭出場,2022-03-29 23:25,L_Cmd_Fast,17656,1,883700,-940,-0.11,230,0.03,-1220,-0.14,35330,8.83
213,多頭進場,2022-03-29 23:00,L_Cmd,17674,1,883700,-940,-0.11,230,0.03,-1220,-0.14,35330,8.83
214,多頭出場,2022-03-30 08:45,L_Exit,17671,1,885300,-1790,-0.20,230,0.03,-1770,-0.20,33540,8.39
214,多頭進場,2022-03-30 03:30,L_Cmd,17706,1,885300,-1790,-0.20,230,0.03,-1770,-0.20,33540,8.39
215,多頭出場,2022-03-30 23:05,L_Cmd_Fast,17709,1,886000,-590,-0.07,680,0.08,-770,-0.09,32950,8.24
215,多頭進場,2022-03-30 22:00,L_Cmd,17720,1,886000,-590,-0.07,680,0.08,-770,-0.09,32950,8.24
216,多頭出場,2022-03-31 09:20,L_Exit,17700,1,887450,-2490,-0.28,1230,0.14,-2470,-0.28,30460,7.61
216,多頭進場,2022-03-31 08:50,L_Cmd,17749,1,887450,-2490,-0.28,1230,0.14,-2470,-0.28,30460,7.61
217,空頭出場,2022-03-31 22:45,S_Exit,17572,1,876900,-1740,-0.20,380,0.04,-1720,-0.20,28720,7.18
217,空頭進場,2022-03-31 22:05,S_Cmd,17538,1,876900,-1740,-0.20,380,0.04,-1720,-0.20,28720,7.18
218,空頭出場,2022-04-01 01:35,S_Cmd_Fast,17554,1,877100,-640,-0.07,480,0.05,-770,-0.09,28080,7.02
218,空頭進場,2022-04-01 00:20,S_Cmd,17542,1,877100,-640,-0.07,480,0.05,-770,-0.09,28080,7.02
219,空頭出場,2022-04-01 03:55,S_Exit,17476,1,876100,2260,0.26,2330,0.27,-420,-0.05,30300,7.58
219,空頭進場,2022-04-01 03:30,S_Cmd,17522,1,876100,2260,0.26,2330,0.27,-420,-0.05,30300,7.58
220,空頭出場,2022-04-01 08:45,S_Exit_Add,17461,1,875250,2160,0.25,2230,0.25,-520,-0.06,32440,8.11
220,空頭進場,2022-04-01 03:45,S_Add,17505,1,875250,2160,0.25,2230,0.25,-520,-0.06,32440,8.11
221,空頭出場,2022-04-01 08:45,S_Exit_Add,17436,1,874450,2610,0.30,2680,0.31,-520,-0.06,35070,8.77
221,空頭進場,2022-04-01 03:55,S_Add,17489,1,874450,2610,0.30,2680,0.31,-520,-0.06,35070,8.77
222,空頭出場,2022-04-01 08:45,S_Exit_Add,17436,1,873950,2110,0.24,2180,0.25,-1020,-0.12,37200,9.30
222,空頭進場,2022-04-01 04:00,S_Add,17479,1,873950,2110,0.24,2180,0.25,-1020,-0.12,37200,9.30
223,空頭出場,2022-04-01 08:45,S_Exit_G,17436,1,873800,1960,0.22,2030,0.23,-1170,-0.13,39180,9.80
223,空頭進場,2022-04-01 04:40,S_G_進,17476,1,873800,1960,0.22,2030,0.23,-1170,-0.13,39180,9.80
