date,prev_date,open_today,close_prev,gap_pt,gap_pct,nq_0845,es_0845,kospi_0845,nkx_0845,nq_1500,es_1500,ndx_ret,spx_ret,nkx_ret,kospi_ret,nq_0845_pct,nq_1500_pct,es_0845_pct,es_1500_pct,vote_es,vote_kospi,vote_nkx,vote_ndx_prev,vote_composite
2024-06-18,2024-06-17,22725.0,22477.0,248.0,1.1033500912043421,0.0,0.5,-1.309814453125,136.62109375,11.25,-4.75,0.0291814515344102,0.2521327394745754,0.996440004203314,0.7222704534604274,0.0,0.0625,0.011111111111111112,-0.10555555555555554,0,0,1,0,1
2024-06-19,2024-06-18,22954.0,22787.0,167.0,0.7328740071093167,2.0,-0.75,1.070068359375,44.79296875,0.0,0.0,0.0291814515344102,0.2521327394745754,0.2303728802548255,1.208796100985987,0.011111111111111112,0.0,-0.016666666666666666,0.0,0,0,0,0,0
2024-06-20,2024-06-19,23143.0,23134.0,9.0,0.03890377798910694,,,-1.219970703125,-5.83203125,14.0,3.0,-0.7873631753103294,-0.2525931847270901,0.1614119341328379,0.3682012633419385,,0.07777777777777778,,0.06666666666666667,0,0,0,-1,-1
2024-06-21,2024-06-20,23034.0,23377.0,-343.0,-1.467254138683321,-17.5,-2.25,-5.2099609375,-8.01171875,-43.0,-11.75,-0.1818712036232295,-0.1562130321101196,-0.0946102108856261,-0.8323701492828017,-0.09722222222222222,-0.23888888888888887,-0.05,-0.26111111111111107,0,-1,0,0,-1
2024-06-25,2024-06-24,22594.0,22754.0,-160.0,-0.7031730684714775,0.25,0.0,8.2001953125,171.8203125,-65.75,-10.5,1.2621154825899206,0.3933590015736898,0.9496284977134062,0.3493980308245881,0.001388888888888889,-0.36527777777777776,0.0,-0.23333333333333336,0,1,1,1,3
2024-06-26,2024-06-25,22807.0,22755.0,52.0,0.22852120413096025,19.25,3.0,3.400146484375,252.73046875,53.5,8.0,0.4939129269155407,0.1572431200220325,1.2608684639888956,0.6365419762104585,0.10694444444444445,0.2972222222222222,0.06666666666666667,0.17777777777777778,1,0,1,1,3
2024-06-27,2024-06-26,22613.0,22876.0,-263.0,-1.1496765168735794,-60.0,-13.5,7.219970703125,-42.95703125,-5.75,1.0,0.3005843855395707,0.0907321223891477,-0.8206586658289661,-0.2861693055154379,-0.33333333333333337,-0.03194444444444445,-0.3,0.022222222222222223,-1,1,0,1,1
2024-06-28,2024-06-27,22923.0,22800.0,123.0,0.5394736842105263,17.0,2.75,3.369873046875,40.20703125,-4.0,2.25,-0.7059876784354269,-0.4083652583445674,0.6139542790033703,0.4942425621584867,0.09444444444444444,-0.022222222222222223,0.06111111111111111,0.05,1,0,0,-1,0
2024-07-02,2024-07-01,22859.0,22991.0,-132.0,-0.5741377060588926,-56.5,-7.75,3.31005859375,184.91015625,-44.25,-12.0,0.8359330501992446,0.6195317856513505,1.119406920333854,-0.8362110708840187,-0.3138888888888889,-0.24583333333333332,-0.17222222222222222,-0.26666666666666666,-1,0,1,1,1
2024-07-03,2024-07-02,23075.0,22839.0,236.0,1.0333201979070887,4.5,2.25,1.8798828125,20.6484375,0.0,0.0,0.8849250735993186,0.5084444409779065,1.262817740428246,0.4728717675748672,0.025,0.0,0.05,0.0,0,0,0,1,1
2024-07-04,2024-07-03,23485.0,23179.0,306.0,1.3201604900987964,0.0,0.0,-3.510009765625,-76.26171875,0.0,0.0,0.8849250735993186,0.5084444409779065,0.8203067282401166,1.1070086196011797,0.0,0.0,0.0,0.0,0,0,-1,1,0
